q,cur,price,price_usd,nrat,n,recurring,t
ai prompts,£,513.95,692.14,7,7.0,False,FORMATION IA 3.0 CREATION DE VIDEOS COMPLETE LE LABO NOIR 4.9 (7) £513
ai prompts,£,80.94,109.0,3,3.0,False,AI Visualization Mastery Salmaan Mohamed 5.0 (3) £80.94
ai prompts,£,147.77,199.0,3,3.0,False,ComfyUI WAN 2.2 Image-to-Video Animation Workflow Pack + Lifetime Upda
ai prompts,£,12.62,17.0,1,1.0,False,AI Voice Assistant - Complete Setup & Build Guide (Build Your Own Jarv
ai prompts,£,370.53,499.0,,0.0,False,4 left Lifetime Bundle – Limited Time Offer ohneis £370.53+
ai prompts,£,36.38,48.99,6,6.0,False,PM Operating System in Claude Code Aakash Gupta 4.8 (6) £36.38
ai prompts,£,21.53,28.99,5,5.0,False,The Faceless YouTube Engine: Create Faceless AI Videos Fast ⚡ Without 
ai prompts,£,0.0,0.0,53,53.0,False,TranscribeX - Local AI Transcription for macOS - 20% OFF Ethan Oawlly 
ai prompts,£,36.38,48.99,3,3.0,False,The Best Way® To Edit AI & Re-Human Your Writing Joshua Lisec Top crea
ai prompts,£,4.45,5.99,3,3.0,False,The Ultimate Gemini Notebook Toolkit Mubashir Burfat 5.0 (3) £4.45+
ai prompts,£,34.9,47.0,33,33.0,False,4 left Claude OS Ziks ⎸ Your AI Guy 5.0 (33) £34.90
ai prompts,£,7.42,9.99,22,22.0,False,JSFILMZ VAULT (500 Seedance 2.0 Prompts) *WINDOWS & MAC BUT READ CAREF
ai prompts,£,72.03,97.0,5,5.0,False,124 left SourceLens — The Smartest Keepa Overlay for Amazon OA Sellers
ai prompts,£,0.0,0.0,40,40.0,False,CLAUDE REMOTION BLUEPRINT - Step By Step Guide CHRONIXEL SHOP 4.8 (40)
ai prompts,£,380.96,513.04,,0.0,False,1 left Lucy A Touch of the Gods £380.96
ai prompts,$,89.99,89.99,3,3.0,False,Echoes Plus Echoes By R2bits 2.3 (3) $89.99 a year
ai prompts,£,111.38,150.0,,0.0,False,4 left The Complete AI Bundle Ziks ⎸ Your AI Guy £111.38
ai prompts,£,28.96,39.0,2,2.0,False,23 left The Consultant's Guide To Claude Skills Kyle Maddie 5.0 (2) £2
ai prompts,£,15.59,21.0,4,4.0,False,The Original Character Journal — Starter Kit Flux Destiny Universe 4.8
ai prompts,$,14.99,14.99,,0.0,False,"Suno AI Complete 8-in-1 Bundle (2,500+ Prompts) Travis Nicholson $14.9"
ai prompts,£,48.27,65.01,2,2.0,False,Consultants' AI Bundle 2026 - Top 9 AI Resources Kyle Maddie 3.0 (2) £
ai prompts,$,39.99,39.99,109,109.0,False,RenderZero AI Studio - AI Image and Video Generation LIFETIME ACCESS P
ai prompts,£,29.69,39.98,5,5.0,False,RenderZero Animate - LIFETIME ACCESS PromptGeek 4.8 (5) £29.69 £22.27
excel dashboard,£,110.64,149.0,,0.0,False,"GRC (Governance, Risk, and Compliance) Excel Templates Pack ExcelLog £"
excel dashboard,£,74.25,99.99,,0.0,False,Cybersecurity All-in-One Bundle ExcelLog £74.25
excel dashboard,£,148.5,199.99,7,7.0,False,Project Management Templates + Advanced Project Plan & Portfolio Excel
excel dashboard,$,0.0,0.0,125,125.0,False,The ultimate Kristjan Küllamaggi (Qullamaggie) deep dive - data and re
excel dashboard,£,74.25,99.99,1,1.0,False,Project Management Templates & Documents TEMPLATE22 5.0 (1) £74.25
excel dashboard,£,147.77,199.0,,0.0,False,Money Movement Lending Tracker for Google Sheets - PRO Core Memory Pri
excel dashboard,£,222.76,299.99,1,1.0,False,Premium Pack of 550+ Project Management Templates + Advanced Project P
excel dashboard,£,147.77,199.0,,0.0,False,LiteView2 — Modern WebView2 ActiveX for VBA & COM (Developer License) 
excel dashboard,£,21.53,28.99,19,19.0,False,MoneyAcción Wealth Planner MoneyAcción 4.9 (19) £21.53
excel dashboard,£,37.12,49.99,,0.0,False,Construction Management Templates ExcelLog £37.12
excel dashboard,£,95.79,129.0,,0.0,False,Onboarding Claude Cowork for HR A-Z Kavya Tayal £95.79
excel dashboard,£,14.11,19.0,,0.0,False,One Year to Spanish Fluency: A 60-Week Structured Plan Romeo Clayton £
excel dashboard,£,114.35,154.0,,0.0,False,Complete Operator System Turf Vision £114.35
excel dashboard,£,259.15,349.0,,0.0,False,ITOM (IT Operation Management) Excel Templates Pack ExcelLog £259.15
excel dashboard,£,18.56,24.99,,0.0,False,The 6.7L Ford Power Stroke Survival Guide + Maintenance Tracker Bundle
excel dashboard,£,74.25,99.99,2,2.0,False,Advanced Project Plan & Portfolio Excel Template TEMPLATE22 5.0 (2) £7
excel dashboard,£,74.25,99.99,1,1.0,False,All-in-One Project Management Documentation Template 2.0 TEMPLATE22 5.
excel dashboard,£,444.79,599.0,,0.0,False,Historical Excel Reporting for Dynamics GP MEM Edition Mark Polino Top
excel dashboard,£,6.68,9.0,1,1.0,False,The Personal Finance Planner jocelynbec 5.0 (1) £6.68+
excel dashboard,£,28.96,39.0,,0.0,False,"Sports Dietitian Performance Nutrition Calculator Joe Dzubak, MS, RDN,"
excel dashboard,£,369.05,497.0,,0.0,False,The Install - High School Strength Systems Justin Goff-Burch £369.05
excel dashboard,£,36.38,48.99,,0.0,False,Tech Job Offer System 2.0 techchris6 £36.38
excel dashboard,£,0.0,0.0,4,4.0,False,The Complete Python for Quants eBook SimplifiedZone 5.0 (4) £0.00+
excel dashboard,£,24.5,32.99,,0.0,False,Plantilla Pro 3.0 🚀 — Dashboard de Inversión + App Móvil Coke Dividend
excel dashboard,£,55.56,74.82,,0.0,False,Automotive Electronics Procurement Intelligence Manual — Edition 2026 
excel dashboard,£,66.81,89.97,,0.0,False,Remote Work Policies Toolkit The Art of Service £66.81
excel dashboard,£,66.81,89.97,,0.0,False,Omnichannel Retail Toolkit The Art of Service £66.81
excel dashboard,£,296.28,399.0,1,1.0,False,Historical Excel Reporting for Dynamics GP Mark Polino Top creator 1.0
excel dashboard,£,37.12,49.99,,0.0,False,Supply Chain Management Excel Template TEMPLATE22 £37.12
excel dashboard,£,14.85,20.0,9,9.0,False,Wealth Planning Toolkit for Google Sheets - Net Worth Tracker with FIR
excel dashboard,£,74.25,99.99,3,3.0,False,Custom Google Sheets Dashboard | Personalized Business Tracker (Made t
excel dashboard,£,5.94,8.0,1,1.0,True,Monthly Budget Spreadsheet V2 thetrackerbuddy 5.0 (1) £5.94
excel dashboard,£,66.81,89.97,,0.0,False,High Frequency Trading Toolkit The Art of Service £66.81
excel dashboard,£,74.25,99.99,,0.0,False,Project & Task Management Excel Suite ExcelLog £74.25
excel dashboard,£,72.03,97.0,,0.0,False,How to Buy a Business - (A Beginner's Guide) Redan Holdings £72.03
excel dashboard,£,220.54,297.0,1,1.0,False,The Corporate to CEO/Owner Transition Blueprint Michael Keck 5.0 (1) £
procreate brushes,£,11.13,14.99,3.3K,3300.0,False,Jingsketch Procreate Brushes: Complete Collection v2.2 Jingsketch Top 
procreate brushes,£,8.91,12.0,128,128.0,False,"Brush Box Vol.1 ✿ Markers, Pencils & Palettes Olguioo 5.0 (128) £8.91"
procreate brushes,£,14.11,19.0,10,10.0,False,Thick Impasto procreate brushes Teju Jangid 5.0 (10) £14.11
procreate brushes,£,22.28,30.0,124,124.0,False,The Oil MaxPack - Brushes for Procreate MaxPacks - Brushes for Procrea
procreate brushes,£,25.99,35.0,213,213.0,False,"Over 3000+ Procreate Brushes by Di | Whole Store Bundle (Textures, Sta"
procreate brushes,$,339.0,339.0,,0.0,False,"The Everything Bundle: $339 → $95, save $244 Nelli Suneli £70.54"
procreate brushes,£,14.85,20.0,397,397.0,False,The Gouache MaxPack v2 - Brushes for Procreate MaxPacks - Brushes for 
procreate brushes,£,18.56,24.99,32,32.0,False,Over 2000+ Procreate Brushes by Stas | Whole Store Bundle Stas 5.0 (32
procreate brushes,£,18.56,24.99,208,208.0,False,The Retro MaxPack - Brushes for Procreate MaxPacks - Brushes for Procr
procreate brushes,£,11.88,16.0,22,22.0,False,Procreate Pack VOL.9 ✿ Gouache & Watercolor Olguioo 5.0 (22) £11.88
procreate brushes,£,65.34,87.99,1.9K,1900.0,False,Jingsketch All Access+ Jingsketch Top creator 4.9 (1.9K) £65.34
procreate brushes,£,18.56,24.99,824,824.0,False,The Watercolor MaxPack - Brushes for Procreate MaxPacks - Brushes for 
procreate brushes,£,11.14,15.0,310,310.0,False,The Comics MaxPack - Brushes for Procreate MaxPacks - Brushes for Proc
procreate brushes,$,29.0,29.0,107,107.0,False,The Comic Toolkit for Procreate Manero Brushes Top creator 5.0 (107) $
procreate brushes,$,150.0,150.0,47,47.0,False,6 Week Painting Class (Quick Concepts) Zac Retz Top creator 4.9 (47) $
procreate brushes,£,14.84,19.99,201,201.0,False,Jingsketch Procreate Brushes: Harmonics Collection v2.0 Jingsketch Top
procreate brushes,$,24.0,24.0,144,144.0,False,The Pixel Art Experience Brush Set for Procreate Manero Brushes Top cr
procreate brushes,£,17.08,23.0,19,19.0,False,The Perfect Oils for Procreate: 87+ oil painting realistic brushes. El
procreate brushes,£,4.83,6.5,8,8.0,False,⭐️ Magic Line Art Brushes for PROCREATE by Elizmil Eliza Miller 4.9 (8
procreate brushes,£,7.42,9.99,,0.0,False,Zeid's Mixer Brush Pack Zeid Salfiti £7.42+
procreate brushes,£,3.71,5.0,254,254.0,False,Coles Pencil Pack (PROCREATE) Cole 5.0 (254) £3.71+
procreate brushes,£,11.14,15.0,9,9.0,False,Oil painting brush for procreate Teju Jangid 5.0 (9) £11.14
procreate brushes,£,22.28,30.0,,0.0,False,The Traditional Essentials Collection renasketch £22.28+
procreate brushes,£,6.68,9.0,,0.0,False,Thousands of brushes. One little life to help. Wosiack £6.68+
procreate brushes,$,7.77,7.77,1.1K,1100.0,False,Bluesssatan brush set for Procreate app Bluesssatan Top creator 4.8 (1
procreate brushes,£,11.14,15.0,186,186.0,False,Procreate Pack VOL.3 | Markers & Pencil colors Olguioo 5.0 (186) £11.1
procreate brushes,£,3.53,4.75,12,12.0,False,"70 Procreate Tattoo Brushes – Stipple Shader, Traditional Tattoo Brush"
procreate brushes,£,5.2,7.0,437,437.0,False,The Essential MaxPack v2 - Brushes for Procreate MaxPacks - Brushes fo
procreate brushes,$,9.0,9.0,5,5.0,False,Draw Like a Pro - Procreate Brushes (Sci-Fi Lineart Specific) Himesh A
procreate brushes,$,20.0,20.0,177,177.0,False,Thick Paint: An Oil Painting Brush Set for Procreate Manero Brushes To
procreate brushes,$,8.0,8.0,1,1.0,False,Liquid Brushes for Procreate Sandra Winther Art 5.0 (1) $8
procreate brushes,$,39.0,39.0,58,58.0,False,SAVE 20%! The Comic Artist Mega Bundle for Procreate Manero Brushes To
procreate brushes,£,1.49,2.01,101,101.0,False,Sloeo MAIN BRUSH DARK Sloeo 4.7 (101) £1.49+
procreate brushes,$,24.0,24.0,83,83.0,False,Natural Gouache Brush Set for Procreate Manero Brushes Top creator 5.0
procreate brushes,£,11.13,14.99,356,356.0,False,Jingsketch Photoshop Brushes: Complete Collection v1.9 Jingsketch Top 
procreate brushes,£,6.53,8.79,415,415.0,False,Procreate Texture Brushes by BigPear Liu BigPearLiu 4.8 (415) £6.53
lightroom presets,£,2.99,4.03,40,40.0,False,Fujifilm Preset (Lightroom Mobile) Ellen Escapes 4.0 (40) £2.99
lightroom presets,£,9.99,13.45,11,11.0,False,Eight Escape Preset Bundle (Lightroom Mobile) Ellen Escapes 4.4 (11) £
lightroom presets,£,2.99,4.03,2,2.0,False,The Wanderer Preset (Lightroom) Ellen Escapes 5.0 (2) £2.99
lightroom presets,£,66.82,89.99,4,4.0,False,@SJRVISUALSS Sports/Lifestyle Preset Pack Sam Rogers 5.0 (4) £66.82 £2
lightroom presets,£,25.74,34.66,7,7.0,False,Vintage Dream Preset Pack (Lightroom) Aya Gadelhak 5.0 (7) £25.74+
lightroom presets,£,2.99,4.03,6,6.0,False,Riviera Film Summer Preset (Lightroom) Ellen Escapes 4.5 (6) £2.99
lightroom presets,£,2.99,4.03,32,32.0,False,Modern Vintage Preset (Lightroom Mobile) Ellen Escapes 5.0 (32) £2.99
lightroom presets,£,59.4,79.99,,0.0,False,Ayitsphotography - ULTIMATE PRESET COMBO (100+ PRESETS) Matt Solie | P
lightroom presets,£,11.14,15.0,24,24.0,False,Football Photography Preset Pack | NEW SKOOL Otto Arney 4.1 (24) £11.1
lightroom presets,£,31.19,42.0,,0.0,False,Pack Completo (13 filtros) Peninsula Presets £31.19
lightroom presets,£,2.99,4.03,1,1.0,False,Honey Film Preset (Lightroom) Ellen Escapes 4.0 (1) £2.99
lightroom presets,£,93.52,125.94,,0.0,False,Clinical Photography System (BEST VALUE) Daniel Manzano £93.52
lightroom presets,€,36.0,41.55,314,314.0,False,135mm 35mm Vintage Analog Film Lightroom Presets | Lightroom & LR Clas
lightroom presets,£,25.25,34.0,17,17.0,False,Lightroom Preset Pack 2.0 Lincoln Morrey 4.8 (17) £25.25
lightroom presets,£,18.56,24.99,6,6.0,False,Ultimate Sport Preset Pack - Includes 25 Presets Nicks M3dia 3.8 (6) £
lightroom presets,£,40.1,54.0,,0.0,False,LMP Creator Bundle Lincoln Morrey £40.10
lightroom presets,£,11.13,14.99,7,7.0,False,Ultimate Lightroom Preset & LUT Bundle – 100+ Presets + 10 LUTs for Mo
lightroom presets,£,35.0,47.13,2,2.0,False,Max Hwrd Lightroom Presets Max Howard 5.0 (2) £35
lightroom presets,£,13.37,18.01,,0.0,False,Family Lightroom presets Oksana Kirik £13.37
lightroom presets,£,30.03,40.44,8,8.0,False,Luke Lucis - Lightroom Presets: Echoes of Nostalgia Luke Lucis 4.9 (8)
lightroom presets,£,2.99,4.03,5,5.0,False,90s Baby Disposable Film Preset (Lightroom) Ellen Escapes 4.0 (5) £2.9
lightroom presets,£,33.46,45.06,,0.0,False,The SanktDiego Preset pack. Juan Diego Schimmel £33.46
lightroom presets,£,29.17,39.28,393,393.0,False,Lightroom Analog Preset Pack Nele Bogaerts 4.8 (393) £29.17+
lightroom presets,£,42.9,57.77,,0.0,False,Octa - Essential Collection Octa Presets £42.90 £32.18
lightroom presets,£,21.53,28.99,3,3.0,False,MB 1.0 Lightroom Preset Pack Mykyta Borovoi 5.0 (3) £21.53
lightroom presets,£,37.13,50.0,2,2.0,False,The Core Collection – Preset Pack Nicole Ivanov 3.0 (2) £37.13
lightroom presets,£,9.65,13.0,12,12.0,False,All in One Grain V3.00 [Lightroom Preset] Vlad Moldovean - Vmoldo.com 
lightroom presets,£,16.34,22.01,2,2.0,False,Mobile ProRaw Presets - Travel Collection Robin 5.0 (2) £16.34
lightroom presets,£,12.87,17.33,,0.0,False,Nostalgic Summer Lightroom Presets Lino Thaesler £12.87
lightroom presets,£,7.72,10.4,3,3.0,False,CHAVES.PHOTOGRAPHY PRESET PACK João Chaves 3.0 (3) £7.72
lightroom presets,£,14.85,20.0,7,7.0,False,Huddys Visuals Preset Pack V2 Hudson Smith 4.1 (7) £14.85
lightroom presets,£,22.27,29.99,2,2.0,False,Presets Plus: Lightroom Photo Presets & Starter Kit ToldbyNick 5.0 (2)
lightroom presets,€,0.0,0.0,365,365.0,False,Free Lightroom Preset - Kodak Kodachrome 64 Preset for Lightroom | Lig
lightroom presets,£,17.15,23.1,1,1.0,False,LOST IN COLOR - 8 Lightroom Presets by amryraw amryraw 5.0 (1) £17.15
lightroom presets,£,7.43,10.01,6,6.0,False,Football Photography Preset Pack | FILM LOOKS Otto Arney 3.7 (6) £7.43
lightroom presets,£,103.21,138.99,1,1.0,False,LK Sunkissed Preset Pack Alyssa | Lyss K. Photography 5.0 (1) £103.21
ebook business,$,59.95,59.95,19,19.0,False,Microsoft 365 for IT Pros (2027 Edition). The Ultimate Guide to Managi
ebook business,£,23.76,32.0,72,72.0,False,Beginners Guide to Becoming a Independent Work From Home Trucking Disp
ebook business,$,100.0,100.0,496,496.0,False,The Art of X: Build a Business That Makes You $100/Day (VERSION 38: UP
ebook business,$,500.0,500.0,1,1.0,True,Social Media Management (ELITE) Tay Devon Enterprises LLC 5.0 (1) $500
ebook business,£,69.8,94.0,3,3.0,False,Building A Trust In America: A Simple & Clear Guide To Protecting Your
ebook business,£,14.84,19.99,22,22.0,False,The Software Engineer's Guidebook Gergely Orosz Top creator 5.0 (22) £
ebook business,$,35.0,35.0,31,31.0,False,Office 365 for IT Pros (2026 Edition). The Ultimate Guide to Managing 
ebook business,£,18.56,24.99,72,72.0,False,The Blueprint Underwriter Ron 4.7 (72) £18.56
ebook business,£,109.15,146.99,,0.0,False,The Prison Break Full System™ Dark Tactics £109.15
ebook business,£,259.15,349.0,,0.0,False,Hit Submit Full Bundle: The Playbook and Templates for Building a Seve
ebook business,$,89.99,89.99,473,473.0,False,Live Intentionally: 90 Day Self-Improvement Program (UPDATED: Second E
ebook business,£,66.09,89.0,,0.0,False,PREMIUM FRUIT TEA MASTERCLASS TEAMO £66.09
ebook business,£,21.53,28.99,,0.0,False,The Backyard Flower Farm Blueprint - The Complete Guide Backyard Bloom
ebook business,$,39.0,39.0,4,4.0,False,No Bullshit Guide to Statistics Ivan Savov 5.0 (4) $39
ebook business,$,12.95,12.95,,0.0,False,Microsoft Purview for IT Pros (2027 Edition) Office 365 for IT Pros To
ebook business,£,48.27,65.01,2,2.0,False,The Ultimate Guide to Building a Profitable Online Coaching Business l
ebook business,£,37.12,49.99,2,2.0,False,The American Trust Playbook: A Simple & Clear Guide To Protecting Your
ebook business,£,25.0,33.67,,0.0,False,AI Expert Blueprint AI Mastery Hub £25
ebook business,£,55.69,75.0,1,1.0,False,Elite Content Bible Tay Devon Enterprises LLC 5.0 (1) £55.69
ebook business,£,11.14,15.0,1,1.0,False,HOW TO WRITE & SELL EBOOKS USING CLAUDE The Complete Side Hustler's Pl
ebook business,£,27.47,36.99,,0.0,False,The UNFAIR ADVANTAGE Pack (2500+ Elite AI Prompts That Give You a 10X 
ebook business,£,44.55,60.0,1,1.0,False,Guide du Débutant pour les Side Hustles avec l’IA lootyai 5.0 (1) £44.
ebook business,£,8.91,12.0,4,4.0,False,How To Make Digital Products Using Claude AI 2.0 Think Scale AI 4.0 (4
ebook business,$,12.95,12.95,,0.0,False,Power Platform for IT Pros (2027 Edition) Office 365 for IT Pros Top c
ebook business,£,0.0,0.0,41,41.0,False,Claude AI Prompt Library (2026 Edition) Think Scale AI 4.9 (41) £0.00+
ebook business,£,84.09,113.24,4,4.0,False,Build & Grow Your Personal Brand (ebook) Moritz Bauer 5.0 (4) £84.09
ebook business,£,17.82,24.0,,0.0,False,THE AI MONETIZATION SYSTEM 3.0 Think Scale AI £17.82+
ebook business,£,72.03,97.0,6,6.0,False,The Mobile Teddy Bear Business Guide Jamie 5.0 (6) £72.03
ebook business,£,591.81,797.0,,0.0,False,Survey Mastery Automation : Make Income From Home In Less Than 30 Days
ebook business,£,220.54,297.0,5,5.0,False,4 left Complete Template Bundle iNotion 5.0 (5) £220.54
ebook business,£,36.38,48.99,215,215.0,False,Designing User Interfaces (eBook) (ENG) Michal Malewicz's UX/UI Master
ebook business,£,5.24,7.06,6,6.0,False,On The Menu - Recipe Ebook by Kobi Walker Kobi Walker 5.0 (6) £5.24
ebook business,£,517.56,697.0,50,50.0,False,Poker Without Fear 2026! Alex Fitzgerald Top creator 4.9 (50) £517.56
ebook business,£,14.85,20.0,,0.0,False,Growth Alpha Mindset Change Your Mindset £14.85
ebook business,£,21.53,28.99,4,4.0,False,KeyCarePrivateCare how to lunch your own private care keyocean4 5.0 (4
ebook business,£,480.43,647.0,,0.0,False,KAJABI & Canva | Course Creator Bundle | Navy WATER PORTAL Full Collec
course trading,$,127.0,127.0,163,163.0,True,CNC Academy Membership (Monthly) Tallguytycoon Top creator 4.5 (163) $
course trading,£,1131.64,1523.99,6,6.0,False,"CNC CORE Membership (Yearly) Tallguytycoon Top creator 5.0 (6) £1,131."
course trading,£,73.7,99.25,2,2.0,False,OPTIONS MADE EASY: ELITE ICurlyCae 5.0 (2) £73.70+
course trading,$,197.0,197.0,10,10.0,False,CNC Discord Membership (3 month) Tallguytycoon Top creator 4.8 (10) $1
course trading,$,149.0,149.0,63,63.0,True,12 left THE RUNNERS COMMUNITY First Generation Wealth Building Top cre
course trading,$,50.0,50.0,4,4.0,True,48 left VIP RealTimeTrades ASX Stocks/Crypto & US Marketplace Rui Top 
course trading,£,28.96,39.0,5,5.0,False,Claude Skills Pack Prompt Guy 4.4 (5) £28.96
course trading,£,637.85,859.0,138,138.0,False,"Business Buyer Advantage: Online Training v4.3: How to find, analyze, "
course trading,$,100.0,100.0,496,496.0,False,The Art of X: Build a Business That Makes You $100/Day (VERSION 38: UP
course trading,£,556.17,749.0,56,56.0,False,The Trading Gym Bot by Mr.Z.M Zoran Miljak 5.0 (56) £556.17
course trading,£,73.51,99.0,2,2.0,False,The Easiest Scalping Strategy You Will Ever Trade! The Alg0mist 5.0 (2
course trading,$,149.0,149.0,9,9.0,True,NinjaFx Signals NinjaFx Top creator 5.0 (9) $149 a month
course trading,£,66.09,89.0,2,2.0,False,"The only Scalping Strategy you'll ever need! 75% Win Rate, Zero Comple"
course trading,£,111.38,150.0,,0.0,False,4 left The Complete AI Bundle Ziks ⎸ Your AI Guy £111.38
course trading,£,1484.35,1998.99,2,2.0,False,5 left The DeFi-nitive Uniswap V3 Trading Development & Mentorship **B
course trading,$,179.99,179.99,15,15.0,False,"The Art of Copywriting: Learn to write emails, funnels, and landing pa"
course trading,£,73.51,99.0,14,14.0,False,Technical Analysis for Beginners — with Steve Barton Steve Barton 4.9 
course trading,£,118.81,160.0,2,2.0,False,MS TRADING MENTORSHIP 2026-27 MS Trading 4.0 (2) £118.81
course trading,$,499.0,499.0,,0.0,False,1 on 1 Turo Mentorship William Boston $499
course trading,$,95.0,95.0,119,119.0,True,NinjaFx Membership NinjaFx Top creator 4.7 (119) $95 a month
course trading,$,50.0,50.0,9,9.0,True,4 left SPY Strikers Mentorship Community SmartAction Trading 4.9 (9) $
course trading,£,247.27,333.0,34,34.0,False,Cryptocurrency Master Course James Crypto Guru - Master Academy Top cr
course trading,$,314.99,314.99,17,17.0,False,Tail Hedging - Learn to Insure Stocks Against Large Declines James Mar
course trading,£,118.07,159.01,18,18.0,False,Prime Trader Program Trade Prime 4.6 (18) £118.07
course trading,£,36.38,48.99,,0.0,False,The Execution Blueprint TradeMachine £36.38
